model_name,epoch,loss,acc,val_loss,val_acc,total_params
VGG16,1,0.20079226791858673,0.8482676148414612,0.17161023616790771,0.8520286679267883,27562308
VGG16,2,0.17716318368911743,0.8703703880310059,0.13434816896915436,0.89737468957901,27562308
VGG16,3,0.17089247703552246,0.863201916217804,0.12805931270122528,0.9021479487419128,27562308
VGG16,4,0.16340672969818115,0.876941442489624,0.1207776591181755,0.8949880599975586,27562308
VGG16,5,0.1591159701347351,0.8712664246559143,0.1342240869998932,0.8878281712532043,27562308
VGG16,6,0.1479361653327942,0.8850059509277344,0.11602210253477097,0.9116945266723633,27562308
VGG16,7,0.1396261602640152,0.8876941204071045,0.1129874512553215,0.9045345783233643,27562308
VGG16,8,0.13750320672988892,0.8894862532615662,0.11968383193016052,0.9069212675094604,27562308
VGG16,9,0.13716158270835876,0.8885902166366577,0.1265639215707779,0.8949880599975586,27562308
VGG16,10,0.13403528928756714,0.893369197845459,0.10354027897119522,0.9140811562538147,27562308
MobileNetV2,1,1.0516724586486816,0.7168458700180054,0.3175344169139862,0.8353222012519836,8182590
MobileNetV2,2,0.509676456451416,0.8100358247756958,0.26599639654159546,0.8949880599975586,8182590
MobileNetV2,3,0.4448690414428711,0.8425925970077515,0.32399675250053406,0.8782815933227539,8182590
MobileNetV2,4,0.3823610544204712,0.8602150678634644,0.2957589626312256,0.8854415416717529,8182590
MobileNetV2,5,0.3695504069328308,0.8682795763015747,0.34095388650894165,0.89737468957901,8182590
MobileNetV2,6,0.309208482503891,0.887395441532135,0.3019072711467743,0.9045345783233643,8182590
MobileNetV2,7,0.31187334656715393,0.8942652344703674,0.41565677523612976,0.8878281712532043,8182590
MobileNetV2,8,0.2744888663291931,0.893369197845459,0.31677594780921936,0.89737468957901,8182590
MobileNetV2,9,0.3208858072757721,0.8924731016159058,0.344115287065506,0.8949880599975586,8182590
MobileNetV2,10,0.264978289604187,0.907108724117279,0.2895238399505615,0.9069212675094604,8182590
DenseNet121,1,0.45526763796806335,0.8294504284858704,0.2076857089996338,0.921241044998169,8091204
DenseNet121,2,0.23819167912006378,0.8999402523040771,0.2133142501115799,0.9236276745796204,8091204
DenseNet121,3,0.22506779432296753,0.9103942513465881,0.2171144187450409,0.9021479487419128,8091204
DenseNet121,4,0.22149011492729187,0.9121863842010498,0.1779157668352127,0.9236276745796204,8091204
DenseNet121,5,0.18545390665531158,0.9268220067024231,0.20660443603992462,0.921241044998169,8091204
DenseNet121,6,0.1860676258802414,0.9313022494316101,0.267691969871521,0.8926014304161072,8091204
DenseNet121,7,0.1810673326253891,0.9262245893478394,0.18806317448616028,0.9307875633239746,8091204
DenseNet121,8,0.17645056545734406,0.9289127588272095,0.17079466581344604,0.940334141254425,8091204
DenseNet121,9,0.15889157354831696,0.937873363494873,0.22668808698654175,0.9188544154167175,8091204
DenseNet121,10,0.15034258365631104,0.9423536658287048,0.2558082044124603,0.9021479487419128,8091204
VGG19,1,0.7552845478057861,0.7114695310592651,0.35793349146842957,0.8639618158340454,32872004
VGG19,2,0.46187472343444824,0.8264635801315308,0.3102307617664337,0.8854415416717529,32872004
VGG19,3,0.43923434615135193,0.8252688050270081,0.3502696454524994,0.8687350749969482,32872004
VGG19,4,0.38435813784599304,0.856630802154541,0.2965702712535858,0.8830549120903015,32872004
VGG19,5,0.3804636001586914,0.8509557843208313,0.25500503182411194,0.9093078970909119,32872004
VGG19,6,0.36526528000831604,0.856033444404602,0.2722190022468567,0.8806682825088501,32872004
VGG19,7,0.3373927175998688,0.8718637824058533,0.30004653334617615,0.8830549120903015,32872004
VGG19,8,0.35749346017837524,0.8682795763015747,0.2727014124393463,0.8782815933227539,32872004
VGG19,9,0.3492283523082733,0.8661887645721436,0.2636962831020355,0.8878281712532043,32872004
VGG19,10,0.318442702293396,0.8703703880310059,0.25185737013816833,0.89737468957901,32872004
ResNet50,1,1.4048949480056763,0.3990442156791687,1.145442008972168,0.3818615674972534,25689988
ResNet50,2,1.1881660223007202,0.4871565103530884,1.019997477531433,0.5465393662452698,25689988
ResNet50,3,1.1117485761642456,0.5143369436264038,0.9194313883781433,0.6372315287590027,25689988
ResNet50,4,1.0311189889907837,0.5471923351287842,0.8712378740310669,0.6157518029212952,25689988
ResNet50,5,0.9895528554916382,0.5764635801315308,0.8600702285766602,0.5823389291763306,25689988
ResNet50,6,0.9272764921188354,0.5994623899459839,0.8064236640930176,0.6825775504112244,25689988
ResNet50,7,0.9114419221878052,0.6173835396766663,0.7687476277351379,0.6348448395729065,25689988
ResNet50,8,0.92092365026474,0.6120071411132812,0.7807045578956604,0.663484513759613,25689988
ResNet50,9,0.873884379863739,0.627538800239563,0.7424898147583008,0.6682577729225159,25689988
ResNet50,10,0.872800886631012,0.6332138776779175,0.7791012525558472,0.6778042912483215,25689988
